date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,url_source1,url_source2,countlove,wiki,ipsos
2020-05-29,Seattle,Washington,100,100,100,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),https://www.capitolhillseattle.com/2020/05/seattle-defiant-walk-of-resistance-protest-planned-over-george-floyd-killing/,1,1,0
2020-05-29,Snohomish,Washington,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-29,Stanwood,Washington,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-29,Yakima,Washington,100,100,100,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
2020-05-29,Blacksburg,Virginia,50,50,50,NA,NA,NA,NA,NA,https://www.wdbj7.com/content/news/Blacksburg-rally-in-response-to-George-Floyds-death-570888361.html,1,0,0
2020-05-29,Charlottesville,Virginia,15,15,15,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Virginia,NA,0,1,0
2020-05-29,Hampton,Virginia,100,100,100,NA,NA,NA,NA,NA,https://www.dailypress.com/news/dp-nw-police-brutality-protests-20200530-mkj7v7fvsrfevj2izeiciah5yu-story.html,1,0,0
2020-05-29,HamptonRoads,Virginia,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Virginia,NA,0,1,1
2020-05-29,Harrisonburg,Virginia,300,300,300,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Virginia,NA,0,1,1
2020-05-29,Norfolk,Virginia,100,100,100,NA,NA,NA,NA,NA,https://www.wavy.com/news/local-news/norfolk/hundreds-gather-at-norfolk-police-operations-center-to-protest-police-brutality-following-george-floyd-death/,1,0,0
2020-05-29,Richmond,Virginia,100,100,100,1,0,1,1,"https://en.wikipedia.org/wiki/George_Floyd_protests_in_Richmond,_Virginia",https://www.wtvr.com/hundreds-gather-in-richmond-to-protest-george-floyds-death,1,1,1
2020-05-29,SaltLakeCity,Utah,150,150,150,1,1,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Utah,https://www.ksl.com/article/46758807/demonstrators-peacefully-protest-for-justice-for-george-floyd-in-downtown-salt-lake-city,1,1,0
2020-05-29,Austin,Texas,75,12,43.5,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Texas,https://www.kvue.com/article/news/local/protest-austin-police-department-area-downtown/269-af9e079e-32d6-4967-8f13-62fed32eeedc,1,1,0
2020-05-29,Boerne,Texas,NA,NA,NA,NA,NA,NA,NA,NA,https://www.tpr.org/post/how-peaceful-george-floyd-protest-turned-violent-alamo-city,1,0,0
2020-05-29,CollegeStation,Texas,NA,NA,NA,NA,NA,NA,NA,NA,https://www.kbtx.com/content/news/George-Floyd-peaceful-protest-forms-in-College-Station-570885181.html,1,0,0
2020-05-29,Dallas,Texas,1000,1000,1000,1,0,1,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Texas,https://interactives.dallasnews.com/2020/george-floyd-dallas-rally-and-march-liveblog/,1,1,0
2020-05-29,ElPaso,Texas,NA,NA,NA,0,0,1,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Texas,https://kvia.com/news/el-paso/2020/05/30/el-paso-police-headquarters-target-of-george-floyd-protest-vandalism-overnight/,1,1,0
2020-05-29,FortWorth,Texas,200,200,200,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Texas,https://www.star-telegram.com/latest-news/article243122191.html,1,1,0
2020-05-29,Houston,Texas,1000,1000,1000,1,0,1,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Texas,http://www.oleantimesherald.com/thousands-rally-for-houston-native-george-floyd/video_59781681-ee8c-5458-b3c5-4ffb65df3966.html,1,1,0
2020-05-29,Longview,Texas,NA,NA,NA,NA,NA,NA,NA,NA,https://www.news-journal.com/news/local/young-people-march-in-longview-to-protest-police-brutality/article_51d0f4bc-a473-11ea-b308-33e41d40fb11.html,1,0,0
2020-05-29,SanMarcos,Texas,NA,NA,NA,NA,NA,NA,NA,NA,https://www.kvue.com/article/news/local/george-floyd-protest-san-marcos/269-a7d8f987-0210-49e6-847c-797f417b6c57,1,0,0
2020-05-29,Victoria,Texas,20,20,20,NA,NA,NA,NA,NA,https://www.victoriaadvocate.com/news/crime/victoria-residents-join-national-protest-over-death-of-george-floyd/article_d4f06086-a26f-11ea-bc0d-6b4b5a317d65.html,1,0,0
2020-05-29,JohnsonCity,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,https://www.johnsoncitypress.com/law-enforcement/2020/05/29/Black-Lives-Matter-protestors-march-in-Johnson-City-for-second-straight-day.html,1,0,0
2020-05-29,Knoxville,Tennessee,100,100,100,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Tennessee,https://www.knoxnews.com/story/news/local/2020/05/30/george-floyd-protests-hundreds-march-downtown-knoxville/5288773002/,1,1,0
2020-05-29,Memphis,Tennessee,200,200,200,NA,NA,NA,NA,NA,https://dailymemphian.com/article/14459/jim-strickland-george-floyd-memphis-protest,1,0,0
2020-05-29,RapidCity,SouthDakota,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_South_Dakota,NA,0,1,0
2020-05-29,Beaufort,SouthCarolina,NA,NA,NA,NA,NA,NA,NA,NA,https://www.wsav.com/news/lowcountry-protest-aims-to-prove-its-point-without-violence/,1,0,0
2020-05-29,Hanover,Pennsylvania,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Pennsylvania,NA,0,1,0
2020-05-29,Pittsburgh,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,https://pittsburgh.cbslocal.com/2020/05/30/fbi-pittsburgh-george-floyd-protest/,1,0,0
2020-05-29,Wilkes-Barre,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,http://www.citizensvoice.com/news/protesters-hold-peaceful-black-lives-matter-rally-in-wilkes-barre-1.2633584,1,0,0
2020-05-29,York,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,https://www.yorkdispatch.com/story/news/local/pennsylvania/2020/05/30/police-riot-gear-clash-protesters-harrisburg/5294711002/,1,0,0
2020-05-29,Astoria,Oregon,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Oregon,NA,0,1,0
2020-05-29,Eugene,Oregon,300,200,250,1,0,1,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Oregon,https://www.statesmanjournal.com/story/news/2020/05/31/police-use-tear-gas-disperse-protesters-downtown-salem-curfew-instituted/5298432002/,1,1,0
2020-05-29,Portland,Oregon,2200,1000,1600,1,0,1,0,"https://en.wikipedia.org/wiki/George_Floyd_protests_in_Portland,_Oregon",https://apnews.com/5b98554db35171ef461efbb6594285ac,1,1,0
2020-05-29,Salem,Oregon,NA,NA,NA,NA,NA,NA,NA,NA,https://www.statesmanjournal.com/story/news/2020/05/31/police-use-tear-gas-disperse-protesters-downtown-salem-curfew-instituted/5298432002/,1,0,0
2020-05-29,Miami,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,https://www.koamnewsnow.com/peaceful-protest-in-miami-honors-george-floyd/,1,0,0
2020-05-29,OklahomaCity,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,https://kfor.com/news/black-lives-matter-to-hold-protest-in-oklahoma-city-demanding-justice-for-george-floyd/,1,0,0
2020-05-29,Canton,Ohio,200,100,150,0,0,0,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Ohio,https://www.limaohio.com/news/412332/canton-mayor-speaks-to-protesters,1,1,0
2020-05-29,Cincinnati,Ohio,500,200,350,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Ohio,https://www.whio.com/news/local/mayor-cincinnati-implements-overnight-curfew-after-fridays-protest/4PPSBUBM2NA2PKWRCO5GXBEELU/,1,1,1
2020-05-29,Columbus,Ohio,100,100,100,1,0,1,1,"https://en.wikipedia.org/wiki/George_Floyd_protests_in_Columbus,_Ohio",https://www.cleveland.com/news/2020/05/5-arrested-in-second-night-of-george-floyd-protests-in-columbus.html,1,1,1
2020-05-29,Charlotte,NorthCarolina,250,100,175,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_North_Carolina,https://www.wcnc.com/article/news/crime/cmpd-officers-injured-business-vandalized-and-looting-during-friday-protest/275-762f72ef-5533-4bdd-9668-92b014162ad2,1,1,1
2020-05-29,Brooklyn,NewYork,3000,3000,3000,NA,NA,NA,NA,NA,https://www.brooklynpaper.com/attorney-general-to-review-nypd-actions-at-barclays-protest/,1,0,0
